      8-21 =        0
      8-22 =        0
      8-23 =        0
      8-24 =        0
      8-25 =        0
      8-26 =        0
      8-27 =        0
      8-28 =        0
      8-29 =        0
      8-30 =        0
      8-31 =        0
      8-32 =        0
      8-33 =        0
      8-34 =        0
      8-35 =        0
      8-36 =        0
      8-37 =        0
      8-38 =        0
      8-39 =        0
      8-40 =        0
      9- 9 =    1.452
      9-10 =    4.777
      9-11 =     4.98
      9-12 =  -0.1518
      9-13 =  -0.8016
      9-14 =   -4.068
      9-15 =   -1.858
      9-16 =        0
      9-17 =        0
      9-18 =   0.2715
      9-19 =   0.9585
      9-20 =        0
      9-21 =        0
      9-22 =    4.273
      9-23 =    4.173
      9-24 =    4.184
      9-25 =    3.181
      9-26 =        0
      9-27 =        0
      9-28 =        0
      9-29 =        0
      9-30 =        0
      9-31 =        0
      9-32 =        0
      9-33 =        0
      9-34 =        0
      9-35 =    -2.83
      9-36 =        0
      9-37 =        0
      9-38 =        0
      9-39 =        0
      9-40 =     3.98
     10-10 =   -2.467
     10-11 =    -4.16
     10-12 =    4.999
     10-13 =  0.07269
     10-14 =   -3.635
     10-15 =   -1.586
     10-16 =        0
     10-17 =        0
     10-18 =   -4.705
     10-19 =        0
     10-20 =        0
     10-21 =        0
     10-22 =        0
     10-23 =    4.065
     10-24 =   -2.004
     10-25 =    4.402
     10-26 =        0
     10-27 =        0
     10-28 =        0
     10-29 =        0
     10-30 =        0
     10-31 =        0
     10-32 =        0
     10-33 =        0
     10-34 =        0
     10-35 =        0
     10-36 =        0
     10-37 =        0
     10-38 =        0
     10-39 =        0
     10-40 =     4.38
     11-11 =    4.994
     11-12 =  0.01855
     11-13 =   -2.004
     11-14 =   -4.957
     11-15 =   -4.974
     11-16 =        0
     11-17 =     2.47
     11-18 =    -2.06
     11-19 =     4.93
     11-20 =        0
     11-21 =        0
     11-22 =    -2.26
     11-23 =  -0.5869
     11-24 =   -1.644
     11-25 =    4.659
     11-26 =        0
     11-27 =        0
     11-28 =        0
     11-29 =        0
     11-30 =        0
     11-31 =        0
     11-32 =        0
     11-33 =        0
     11-34 =        0
     11-35 =   -4.802
     11-36 =     3.76
     11-37 =        0
     11-38 =        0
     11-39 =        0
     11-40 =    4.827
     12-12 =    4.927
     12-13 =     -4.2
     12-14 =   -3.415
     12-15 =   -4.995
     12-16 =        0
     12-17 =        0
     12-18 =  -0.7613
     12-19 =    2.528
     12-20 =        0
     12-21 =        0
     12-22 =   -4.763
     12-23 =    1.493
     12-24 =        0
     12-25 =   -4.175
     12-26 =        0
     12-27 =        0
     12-28 =    3.557
     12-29 =        0
     12-30 =        0
     12-31 =        0
     12-32 =        0
     12-33 =        0
     12-34 =        0
     12-35 =        0
     12-36 =        0
     12-37 =        0
     12-38 =        0
     12-39 =        0
     12-40 =  0.03937
     13-13 =    3.513
     13-14 =    1.147
     13-15 =   0.7768
     13-16 =        0
     13-17 =    3.826
     13-18 =    2.917
     13-19 =    1.109
     13-20 =        0
     13-21 =        0
     13-22 =    4.552
     13-23 =  -0.9446
     13-24 =   -4.265
     13-25 =        0
     13-26 =        0
     13-27 =        0
     13-28 =        0
     13-29 =        0
     13-30 =        0
     13-31 =        0
     13-32 =        0
     13-33 =        0
     13-34 =        0
     13-35 =   -4.793
     13-36 =        0
     13-37 =        0
     13-38 =        0
     13-39 =        0
     13-40 =   -1.234
     14-14 =  -0.2937
     14-15 =   -4.323
     14-16 =        0
     14-17 =   -1.844
     14-18 =    3.053
     14-19 =   -2.043
     14-20 =        0
     14-21 =        0
     14-22 =    3.604
     14-23 =   -2.617
     14-24 =  -0.3789
     14-25 =    4.395
     14-26 =        0
     14-27 =        0
     14-28 =   -3.789
     14-29 =        0
     14-30 =        0
     14-31 =   -1.716
     14-32 =        0
     14-33 =        0
     14-34 =        0
     14-35 =   -4.711
     14-36 =   -3.981
     14-37 =        0
     14-38 =        0
     14-39 =        0
     14-40 =    0.897
     15-15 =   -1.605
     15-16 =        0
     15-17 =    2.477
     15-18 =    3.197
     15-19 =   -4.818
     15-20 =        0
     15-21 =        0
     15-22 =   -4.914
     15-23 =    2.567
     15-24 =   -3.448
     15-25 =    3.143
     15-26 =        0
     15-27 =        0
     15-28 =   -4.495
     15-29 =        0
     15-30 =   0.7613
     15-31 =        0
     15-32 =        0
     15-33 =   -4.461
     15-34 =        0
     15-35 =   -2.075
     15-36 =        0
     15-37 =        0
     15-38 =        0
     15-39 =        0
     15-40 =   0.7643
     16-16 =        0
     16-17 =        0
     16-18 =        0
     16-19 =        0
     16-20 =        0
     16-21 =        0
     16-22 =        0
     16-23 =        0
     16-24 =        0
     16-25 =        0
     16-26 =        0
     16-27 =        0
     16-28 =        0
     16-29 =        0
     16-30 =        0
     16-31 =        0
     16-32 =        0
     16-33 =        0
     16-34 =        0
     16-35 =        0
     16-36 =        0
     16-37 =        0
     16-38 =        0
     16-39 =        0
     16-40 =        0
     17-17 =        0
     17-18 =        0
     17-19 =        0
     17-20 =        0
     17-21 =        0
     17-22 =        0
     17-23 =        0
     17-24 =        0
     17-25 =        0
     17-26 =        0
     17-27 =        0
     17-28 =        0
     17-29 =        0
     17-30 =        0
     17-31 =        0
     17-32 =        0
     17-33 =        0
     17-34 =        0
     17-35 =        0
     17-36 =        0
     17-37 =        0
     17-38 =        0
     17-39 =        0
     17-40 =    1.907
     18-18 =   -4.775
     18-19 =        0
     18-20 =        0
     18-21 =        0
     18-22 =        0
     18-23 =   -4.114
     18-24 =   -3.519
     18-25 =        0
     18-26 =   -4.298
     18-27 =        0
     18-28 =        0
     18-29 =        0
     18-30 =        0
     18-31 =        0
     18-32 =        0
     18-33 =        0
     18-34 =        0
     18-35 =    -4.33
